date:1485845636,lat:47.08192154299468,long:2.4157909769564867;
date:1485845646,lat:47.08194911945611,long:2.4157851934432983;
date:1485845656,lat:47.0819480298087,long:2.4158679228276014;
date:1485845666,lat:47.081964877434075,long:2.415842106565833;
date:1485845676,lat:47.082085786387324,long:2.4158034659922123;
date:1485845686,lat:47.08206336479634,long:2.4157043918967247;
date:1485845696,lat:47.08206336479634,long:2.4157043918967247;
date:1485845706,lat:47.08206336479634,long:2.4157043918967247;
date:1485845716,lat:47.08206336479634,long:2.4157043918967247;
date:1485845726,lat:47.08206336479634,long:2.4157043918967247;
date:1485845736,lat:47.08206336479634,long:2.4157043918967247;
date:1485845746,lat:47.08206336479634,long:2.4157043918967247;
date:1485845756,lat:47.08206336479634,long:2.4157043918967247;
date:1485845766,lat:47.08210749551654,long:2.4157427810132504;
date:1485845776,lat:47.08210749551654,long:2.4157427810132504;
date:1485845786,lat:47.08210749551654,long:2.4157427810132504;
date:1485845796,lat:47.082100957632065,long:2.4157147016376257;
date:1485845811,lat:47.082100957632065,long:2.4157147016376257;
date:1485845821,lat:47.082100957632065,long:2.4157147016376257;
date:1485845831,lat:47.082248479127884,long:2.415670696645975;
date:1485845841,lat:47.08228917326778,long:2.4156670924276114;
date:1485845851,lat:47.08212182857096,long:2.4155998695641756;
date:1485845861,lat:47.08212962374091,long:2.415588553994894;
date:1485845871,lat:47.08219194319099,long:2.415476068854332;
date:1485845881,lat:47.082191314548254,long:2.415460394695401;
date:1485845891,lat:47.082165540196,long:2.415467854589224;
date:1485845901,lat:47.082165540196,long:2.415467854589224;
date:1485845911,lat:47.082165540196,long:2.415467854589224;
date:1485845921,lat:47.082165540196,long:2.415467854589224;
date:1485845931,lat:47.082165540196,long:2.415467854589224;
date:1485845950,lat:47.082165540196,long:2.415467854589224;
date:1485845981,lat:47.082165540196,long:2.415467854589224;
date:1485846038,lat:47.082165540196,long:2.415467854589224;
date:1485846062,lat:47.082165540196,long:2.415467854589224;
date:1485846143,lat:47.082165540196,long:2.415467854589224;
date:1485846179,lat:47.082165540196,long:2.415467854589224;
date:1485846208,lat:47.082165540196,long:2.415467854589224;
date:1485846234,lat:47.082165540196,long:2.415467854589224;
date:1485846265,lat:47.082165540196,long:2.415467854589224;
date:1485846307,lat:47.082165540196,long:2.415467854589224;
date:1485846360,lat:47.082165540196,long:2.415467854589224;
date:1485846424,lat:47.082165540196,long:2.415467854589224;
date:1485846485,lat:47.082165540196,long:2.415467854589224;
date:1485846495,lat:47.082165540196,long:2.415467854589224;
date:1485846505,lat:47.08196663763374,long:2.4159573577344418;
date:1485846516,lat:47.081848117522895,long:2.415867755189538;
date:1485846527,lat:47.081726202741265,long:2.4159350618720055;
date:1485846538,lat:47.08174124825746,long:2.41589717566967;
date:1485846548,lat:47.081828084774315,long:2.4158556014299393;
date:1485846558,lat:47.08182552829385,long:2.415831293910742;
date:1485846568,lat:47.08187468815595,long:2.415859457105398;
date:1485846578,lat:47.081909137777984,long:2.4159156158566475;
date:1485846588,lat:47.08198780193925,long:2.415699614211917;
date:1485846598,lat:47.08202543668449,long:2.4156337324529886;
date:1485846608,lat:47.081932188011706,long:2.4156809225678444;
date:1485846618,lat:47.081894762814045,long:2.4156964290887117;
date:1485846628,lat:47.08195347804576,long:2.4156732112169266;
date:1485846639,lat:47.08195347804576,long:2.4156732112169266;
date:1485846649,lat:47.08184648305178,long:2.4157657474279404;
date:1485846659,lat:47.081705373711884,long:2.415857780724764;
date:1485846669,lat:47.08161266986281,long:2.415956938639283;
date:1485846679,lat:47.081372905522585,long:2.4161220621317625;
date:1485846689,lat:47.08138367626816,long:2.416227338835597;
date:1485846700,lat:47.081568371504545,long:2.416052408516407;
date:1485846710,lat:47.081623398698866,long:2.4159830063581467;
date:1485846720,lat:47.081660949625075,long:2.415894493460655;
date:1485846730,lat:47.08168085664511,long:2.4156496580690145;
date:1485846740,lat:47.081707804463804,long:2.415650160983205;
date:1485846750,lat:47.081673396751285,long:2.4156884662806988;
date:1485846760,lat:47.08168387413025,long:2.4156711157411337;
date:1485846771,lat:47.081681485287845,long:2.415605904534459;
date:1485846781,lat:47.08168680779636,long:2.415667260065675;
date:1485846791,lat:47.081693722866476,long:2.415683353319764;
date:1485846801,lat:47.081665308214724,long:2.4157742131501436;
date:1485846811,lat:47.081698877736926,long:2.415791479870677;
date:1485846821,lat:47.08173630293459,long:2.4157214909791946;
date:1485846831,lat:47.08174791187048,long:2.4156976863741875;
date:1485846841,lat:47.08176216110587,long:2.4157877918332815;
date:1485846851,lat:47.08176853135228,long:2.4158401787281036;
date:1485846861,lat:47.08179007284343,long:2.415847973898053;
date:1485846871,lat:47.08184141200036,long:2.41585367359221;
date:1485846881,lat:47.0818806393072,long:2.415850069373846;
date:1485846891,lat:47.08190331235528,long:2.415850404649973;
date:1485846902,lat:47.08190331235528,long:2.415850404649973;
date:1485846912,lat:47.081955783069134,long:2.415856271982193;
date:1485846922,lat:47.08193730097264,long:2.415872700512409;
date:1485846932,lat:47.08193730097264,long:2.415872700512409;
date:1485846942,lat:47.08184199873358,long:2.4158684257417917;
date:1485846952,lat:47.08176027517766,long:2.415843866765499;
date:1485846962,lat:47.08176341839135,long:2.415847470983863;
date:1485846972,lat:47.08176341839135,long:2.415847470983863;
date:1485846982,lat:47.08176341839135,long:2.415847470983863;
date:1485846992,lat:47.08179656881839,long:2.4158298689872026;
date:1485847002,lat:47.08179656881839,long:2.4158298689872026;
date:1485847013,lat:47.081767776980996,long:2.415796173736453;
date:1485847023,lat:47.08172201178968,long:2.4157230835407972;
date:1485847034,lat:47.081802100874484,long:2.4157589580863714;
date:1485847046,lat:47.081802100874484,long:2.4157589580863714;
date:1485847057,lat:47.081781858578324,long:2.4157600477337837;
date:1485847068,lat:47.081781858578324,long:2.4157600477337837;
date:1485847078,lat:47.081781858578324,long:2.4157600477337837;
date:1485847089,lat:47.0817976584658,long:2.415770273655653;
date:1485847099,lat:47.0817976584658,long:2.415770273655653;
date:1485847109,lat:47.0817976584658,long:2.415770273655653;
date:1485847120,lat:47.0817976584658,long:2.415770273655653;
date:1485847130,lat:47.0817976584658,long:2.415770273655653;
date:1485847140,lat:47.0817976584658,long:2.415770273655653;
date:1485847150,lat:47.08181329071522,long:2.4157660827040672;
date:1485847162,lat:47.081816685386,long:2.415767591446638;
date:1485847172,lat:47.081816685386,long:2.415767591446638;
date:1485847182,lat:47.081816685386,long:2.415767591446638;
date:1485847193,lat:47.08177171647549,long:2.4157597962766886;
date:1485847204,lat:47.0817865524441,long:2.4157362431287766;
date:1485847214,lat:47.081840238533914,long:2.4157727044075727;
date:1485847224,lat:47.0819271588698,long:2.4155027233064175;
date:1485847234,lat:47.08195008337498,long:2.4154859595000744;
date:1485847244,lat:47.08196919411421,long:2.415519654750824;
date:1485847254,lat:47.08196919411421,long:2.415519654750824;
date:1485847265,lat:47.08196919411421,long:2.415519654750824;
date:1485847275,lat:47.08197212778032,long:2.4156229197978973;
date:1485847285,lat:47.08196823019534,long:2.4156452994793653;
date:1485847295,lat:47.08194258157164,long:2.415727861225605;
date:1485847306,lat:47.08194258157164,long:2.415727861225605;
date:1485847316,lat:47.08173487801105,long:2.4158157873898745;
date:1485847328,lat:47.081668744795024,long:2.4158363230526447;
date:1485847339,lat:47.08165156189352,long:2.4158431123942137;
date:1485847349,lat:47.08165156189352,long:2.4158431123942137;
date:1485847360,lat:47.08165156189352,long:2.4158431123942137;
date:1485847370,lat:47.08163982722908,long:2.4159046355634928;
date:1485847380,lat:47.08165684249252,long:2.415919303894043;
date:1485847391,lat:47.08170705009252,long:2.4159370735287666;
date:1485847401,lat:47.081707678735256,long:2.415964063256979;
