date:1007955,lat:47.134212,long:2.393517;
date:1007975,lat:47.134327,long:2.393540;
date:1007995,lat:47.134464,long:2.393544;
date:1008015,lat:47.134590,long:2.393549;
date:1008035,lat:47.134716,long:2.393555;
date:1008055,lat:47.134842,long:2.393568;
date:1008075,lat:47.134968,long:2.393585;
date:1008095,lat:47.135094,long:2.393602;
date:1008115,lat:47.135227,long:2.393606;
date:1008135,lat:47.135353,long:2.393601;
date:1008155,lat:47.135467,long:2.393633;
date:1008175,lat:47.135582,long:2.393669;
date:1008195,lat:47.135696,long:2.393725;
date:1008215,lat:47.135815,long:2.393772;
date:1008235,lat:47.135933,long:2.393827;
date:1008255,lat:47.136036,long:2.393907;
date:1008275,lat:47.136147,long:2.393966;
date:1008295,lat:47.136246,long:2.394027;
date:1008315,lat:47.136353,long:2.394090;
date:1008335,lat:47.136459,long:2.394167;
date:1008355,lat:47.136570,long:2.394232;
date:1008375,lat:47.136669,long:2.394290;
date:1008395,lat:47.136772,long:2.394360;
date:1008415,lat:47.136887,long:2.394425;
date:1008435,lat:47.136990,long:2.394486;
date:1008455,lat:47.137089,long:2.394555;
date:1008475,lat:47.137192,long:2.394620;
date:1008495,lat:47.137302,long:2.394665;
date:1008515,lat:47.137405,long:2.394716;
date:1008535,lat:47.137524,long:2.394744;
date:1026855,lat:47.239376,long:2.380146;
date:1026875,lat:47.239498,long:2.380025;
date:1026895,lat:47.239498,long:2.380025;
date:1026915,lat:47.239632,long:2.379913;
date:1026935,lat:47.239632,long:2.379913;
date:1026955,lat:47.239761,long:2.379791;
date:1026975,lat:47.239895,long:2.379675;
date:1026995,lat:47.239895,long:2.379675;
date:1027015,lat:47.240021,long:2.379553;
date:1027035,lat:47.240162,long:2.379431;
date:1027055,lat:47.240280,long:2.379284;
date:1027075,lat:47.240280,long:2.379284;
date:1027095,lat:47.240414,long:2.379164;
date:1027115,lat:47.240570,long:2.379011;
date:1027135,lat:47.240631,long:2.378914;
date:1027155,lat:47.240711,long:2.378823;
date:1027175,lat:47.240795,long:2.378757;
date:1027195,lat:47.240875,long:2.378677;
date:1027215,lat:47.240875,long:2.378677;
date:1027235,lat:47.240875,long:2.378677;
date:1027255,lat:47.240875,long:2.378677;
date:1027275,lat:47.240875,long:2.378677;
date:1027295,lat:47.241363,long:2.378251;
date:1027315,lat:47.241463,long:2.378168;
date:1027335,lat:47.241573,long:2.378077;
date:1027355,lat:47.241638,long:2.377990;
date:1027375,lat:47.241756,long:2.377811;
date:1027395,lat:47.241894,long:2.377726;
date:1027415,lat:47.241997,long:2.377639;
date:1027435,lat:47.242096,long:2.377539;
date:1027455,lat:47.242191,long:2.377439;
date:1027475,lat:47.242291,long:2.377351;
date:1027495,lat:47.242386,long:2.377245;
date:1027515,lat:47.242481,long:2.377163;
date:1027535,lat:47.242592,long:2.377070;
date:1027555,lat:47.242710,long:2.376993;
date:1027575,lat:47.242798,long:2.376896;
date:1027595,lat:47.242886,long:2.376783;
date:1027615,lat:47.242966,long:2.376689;
date:1027635,lat:47.243076,long:2.376596;
date:1027655,lat:47.243179,long:2.376503;
date:1027675,lat:47.243294,long:2.376386;
date:1027695,lat:47.243427,long:2.376270;
date:1027715,lat:47.243542,long:2.376174;
date:1027735,lat:47.243629,long:2.376037;
date:1027755,lat:47.243736,long:2.375918;
date:1027775,lat:47.243858,long:2.375808;
date:1027795,lat:47.243969,long:2.375717;
date:1027815,lat:47.244076,long:2.375593;
date:1027835,lat:47.244183,long:2.375487;
date:1027855,lat:47.244263,long:2.375380;
date:1027875,lat:47.244347,long:2.375254;
date:1027895,lat:47.244488,long:2.375167;
date:1027915,lat:47.244625,long:2.375066;
date:1027935,lat:47.244743,long:2.374957;
date:1027955,lat:47.244842,long:2.374855;
date:1027975,lat:47.244942,long:2.374727;
date:1027995,lat:47.245056,long:2.374629;
date:1028015,lat:47.245182,long:2.374540;
date:1028035,lat:47.245266,long:2.374429;
date:1028055,lat:47.245350,long:2.374297;
date:1028075,lat:47.245453,long:2.374196;
date:1028095,lat:47.245564,long:2.374083;
date:1028115,lat:47.245674,long:2.373984;
date:1028135,lat:47.245766,long:2.373870;
date:1028155,lat:47.245857,long:2.373753;
date:1028175,lat:47.245953,long:2.373655;
date:1028195,lat:47.246059,long:2.373539;
date:1028215,lat:47.246121,long:2.373392;
date:1028235,lat:47.246319,long:2.373281;
date:1028255,lat:47.246422,long:2.373209;
date:1028275,lat:47.246529,long:2.373098;
