date:1005435,lat:47.1244926,long:2.4063644;
date:1005455,lat:47.1244545,long:2.4061801;
date:1005475,lat:47.1244469,long:2.4059844;
date:1005495,lat:47.1244659,long:2.405797;
date:1005515,lat:47.1244736,long:2.405597;
date:1005535,lat:47.1244354,long:2.405405;
date:1005555,lat:47.1244431,long:2.4052269;
date:1005575,lat:47.1244926,long:2.4050097;
date:1005595,lat:47.1244926,long:2.4048178;
date:1005615,lat:47.1245193,long:2.4046042;
date:1005635,lat:47.1244736,long:2.4044065;
date:1005655,lat:47.1244812,long:2.4041991;
date:1005675,lat:47.1244316,long:2.4040225;
date:1005695,lat:47.1243515,long:2.4038451;
date:1005715,lat:47.1243477,long:2.40365;
date:1005735,lat:47.1242447,long:2.4034798;
date:1005755,lat:47.1242294,long:2.4033108;
date:1005775,lat:47.1241875,long:2.4031501;
date:1005795,lat:47.1241493,long:2.4029758;
date:1005815,lat:47.1241035,long:2.4027855;
date:1005835,lat:47.1240692,long:2.4025996;
date:1005855,lat:47.1239662,long:2.4024155;
date:1005875,lat:47.1238441,long:2.4022381;
date:1005895,lat:47.1237907,long:2.402046;
date:1005915,lat:47.1237106,long:2.4018388;
date:1005935,lat:47.1237144,long:2.4016283;
date:1005955,lat:47.1236115,long:2.4014382;
date:1005975,lat:47.123558,long:2.401238;
date:1005995,lat:47.123539,long:2.4010372;
date:1006015,lat:47.1235046,long:2.4008307;
date:1006035,lat:47.1235275,long:2.4006186;
date:1006055,lat:47.1235504,long:2.4004281;
date:1006075,lat:47.1235809,long:2.400223;
date:1006095,lat:47.1236229,long:2.400022;
date:1006115,lat:47.1236687,long:2.3998158;
date:1006135,lat:47.1237488,long:2.3996444;
date:1006155,lat:47.1238365,long:2.3994884;
date:1006175,lat:47.1239243,long:2.3993526;
date:1006195,lat:47.1240234,long:2.3992362;
date:1006215,lat:47.1241264,long:2.3990908;
date:1006235,lat:47.1242447,long:2.3989682;
date:1006255,lat:47.1243401,long:2.3988256;
date:1006275,lat:47.1244431,long:2.3986828;
date:1006295,lat:47.1245003,long:2.398535;
date:1006315,lat:47.1245689,long:2.398361;
date:1006335,lat:47.1246719,long:2.3981912;
date:1006355,lat:47.124752,long:2.3979926;
date:1006375,lat:47.124836,long:2.39782;
date:1006395,lat:47.1249237,long:2.3976519;
date:1006415,lat:47.1249886,long:2.3974469;
date:1006435,lat:47.1250916,long:2.3973012;
date:1006455,lat:47.125164,long:2.3971369;
date:1006475,lat:47.1252403,long:2.3969829;
date:1006495,lat:47.1253242,long:2.3968122;
date:1006515,lat:47.1253815,long:2.3966343;
date:1006535,lat:47.1254425,long:2.3964574;
date:1006555,lat:47.1255226,long:2.3962984;
date:1006575,lat:47.1255951,long:2.3961241;
date:1006595,lat:47.1256523,long:2.3959539;
date:1006615,lat:47.1256866,long:2.3957741;
date:1006635,lat:47.1257019,long:2.3955872;
date:1006655,lat:47.1256981,long:2.395396;
date:1006675,lat:47.1256981,long:2.3952048;
date:1006695,lat:47.1257095,long:2.3950138;
date:1006715,lat:47.1257095,long:2.3948145;
date:1006735,lat:47.1257286,long:2.3946297;
date:1006755,lat:47.1257591,long:2.394444;
date:1006775,lat:47.1258125,long:2.3942854;
date:1006795,lat:47.1259232,long:2.3941877;
date:1006815,lat:47.1260643,long:2.394134;
date:1006835,lat:47.126194,long:2.3941443;
date:1006855,lat:47.1263161,long:2.3941443;
date:1006875,lat:47.126461,long:2.3941343;
date:1006895,lat:47.1265984,long:2.3941357;
date:1006915,lat:47.1267471,long:2.3941286;
date:1006935,lat:47.1268921,long:2.3941152;
date:1006955,lat:47.1270599,long:2.3941214;
date:1006975,lat:47.1272316,long:2.3940887;
date:1006995,lat:47.1273956,long:2.3940833;
date:1007015,lat:47.1275749,long:2.3940618;
date:1007035,lat:47.1277542,long:2.3940573;
date:1007055,lat:47.1279335,long:2.3940349;
date:1007075,lat:47.1281052,long:2.3940148;
date:1007095,lat:47.1282692,long:2.3940058;
